,MAE,MSE,RMSE,R2
CatBoost,2.2693118508914725,9.53078810943575,3.087197452291601,0.06887729240827922
Decision Tree,2.644444444444445,11.735555555555557,3.425719713513579,-0.14652032324206954
ElasticNet,3.0464568531578062,11.726816864097426,3.424444022625779,-0.14566658544432687
Gradient Boosting,2.378778653544331,10.562914599632009,3.2500637839328643,-0.03195764391532108
Huber,2.4729394064114176,7.645325186461998,2.765018116841551,0.2530800384713282
KNN,2.697777777777778,9.200977777777775,3.0333113552317332,0.10109854058617818
Lasso Regression,3.08888888888889,12.073333333333341,3.474670248143461,-0.17951996140393245
Linear Regression,2.5112850781375378,7.834004117051661,2.7989291018265647,0.23464680559500128
M-estimators,2.4129652426827466,7.907094719933168,2.8119556753144543,0.22750612433411344
Passive Aggressive,2.5922233366461267,8.674822065684534,2.9453050887275727,0.15250200540291015
Random Forest,2.261777777777774,7.181931777777771,2.6799126436840757,0.2983518586419016
Ridge Regression,2.6087645705131295,8.397435075984182,2.897832824022839,0.1796016871852386
SVR,2.6140287356205687,8.404469288948974,2.899046272302147,0.17891447062493449
XGBoost,2.6386404567294655,11.703623239843637,3.42105586622663,-0.14340065423632198
