,MAE,MSE,RMSE,R2
CatBoost,2.1934245952212676,6.111373232298995,2.4721191784173744,0.40294146445999457
Decision Tree,2.255555555555555,6.41888888888889,2.5335526220879823,0.3728983234832951
ElasticNet,3.08888888888889,12.073333333333341,3.474670248143461,-0.17951996140393245
Gradient Boosting,2.2641552884042553,6.468490837583538,2.543322794610141,0.3680523967624334
Huber,2.4623220992183343,7.618119893120932,2.7600941819294738,0.25573789489471066
KNN,2.6466666666666665,8.993555555555554,2.998925733584537,0.12136292365215318
Lasso Regression,3.08888888888889,12.073333333333341,3.474670248143461,-0.17951996140393245
Linear Regression,2.497817449699254,7.791936102634517,2.7914039662210333,0.23875669483368023
M-estimators,2.9927984816575934,11.339233557648882,3.367377845987718,-0.10780113155175419
Passive Aggressive,3.0924194303963164,13.138204496791825,3.6246661221127425,-0.2835539310579396
Random Forest,2.274222222222217,6.054906666666643,2.4606719949368796,0.4084580388372959
Ridge Regression,2.848706814269553,10.252471085554575,3.2019480141867662,-0.0016284621033897384
SVR,2.622658513178984,8.444844176752701,2.9060014068738336,0.1749699935870599
XGBoost,2.2544685893588596,6.412887340167578,2.532367931436421,0.373484652570771
