,MAE,MSE,RMSE,R2
CatBoost,2.163377463415092,7.675963878308378,2.770552991427592,0.25008675172719985
Decision Tree,2.2666666666666675,8.382222222222225,2.895206766747796,0.18108792666747053
ElasticNet,3.070143176675988,11.919510397247045,3.452464394783391,-0.16449203012544977
Gradient Boosting,2.12898226767763,7.600131319404422,2.756833567592433,0.25749531193853803
Huber,2.5164711237716935,8.027880520393957,2.8333514643252355,0.2157057988759976
KNN,2.6866666666666665,9.663955555555555,3.108690328024899,0.05586732601616218
Lasso Regression,3.08888888888889,12.073333333333341,3.474670248143461,-0.17951996140393245
Linear Regression,2.5128507842375463,8.041927138741872,2.8358291801062125,0.21433349627536902
M-estimators,2.3466193263189954,7.7351390397117035,2.7812117933936107,0.24430555757249073
Passive Aggressive,3.0681596163119993,12.512844217387972,3.5373498861984194,-0.22245854735065196
Random Forest,2.272888888888884,7.345139333333309,2.7101917521336585,0.2824070847907394
Ridge Regression,2.628803165291833,8.64815896059915,2.9407752312271587,0.15510689204133277
SVR,2.7607041852187457,9.387625813844824,3.0639232715335454,0.08286371858469344
XGBoost,2.264582686954075,8.367204681834302,2.8926120863044016,0.18255508475626792
