,MAE,MSE,RMSE,R2
CatBoost,2.1268932279181367,6.2778372774364755,2.50556126994262,0.38667854363483967
Decision Tree,2.522222222222222,8.13,2.8513154858766505,0.2057291038475456
ElasticNet,3.208529505110312,12.76853626487337,3.5733088678245224,-0.24743871361083447
Gradient Boosting,1.725229198811295,3.9655794615986193,1.9913762732338205,0.6125775703901964
Huber,2.3037584517078438,8.690288790190193,2.9479295768708913,0.15099096368905374
KNN,3.222222222222223,12.399288888888892,3.521262399891393,-0.21136461223012915
Lasso Regression,3.2309080843710434,12.933151038387829,3.5962690442162177,-0.263520967445922
Linear Regression,2.2699541118017357,8.933294694325072,2.988861772368383,0.12725018665983512
M-estimators,2.2096797592304163,8.3448600064191,2.8887471343852686,0.18473807680623922
Passive Aggressive,3.624978473177281,16.5626966087032,4.069729304106502,-0.6181141301470978
Random Forest,1.8250000000000008,4.37486877777778,2.091618697989139,0.5725915197201783
Ridge Regression,2.2927316838254974,8.037467851133078,2.835042830564131,0.2147691521628523
SVR,3.2076575569024928,12.462777183925114,3.5302658800613185,-0.21756718357005678
XGBoost,1.5930974695417615,3.262943951252274,1.8063620764542956,0.6812224580250462
