,MAE,MSE,RMSE,R2
CatBoost,1.568323705489296,3.4057321577186075,1.845462586377358,0.6672725789709237
Decision Tree,2.166666666666666,8.130000000000003,2.851315485876651,0.2057291038475455
ElasticNet,3.2347015963482226,12.995072187100785,3.6048678459966856,-0.2695704343929122
Gradient Boosting,1.620678590590997,4.450426720219699,2.109603450940413,0.5652097885203285
Huber,1.9573610445435798,5.64081732514922,2.375040489159968,0.4489130342092791
KNN,3.222222222222223,12.399288888888892,3.521262399891393,-0.21136461223012915
Lasso Regression,3.2309080843710434,12.933151038387829,3.5962690442162177,-0.263520967445922
Linear Regression,1.8866407533416536,5.700530818896455,2.3875784424593163,0.44307924697791246
M-estimators,3.222277526642567,13.575233439533333,3.6844583644727664,-0.3262500405285247
Passive Aggressive,3.637854342917388,16.65190599024811,4.080674697920444,-0.626829556398621
Random Forest,1.565000000000002,4.353178555555562,2.0864272226836866,0.5747105741165113
Ridge Regression,2.7102737849185154,9.214642180680286,3.03556291001855,0.09976357901929434
SVR,3.2061348428333414,12.462510720171334,3.5302281399608346,-0.21754115104797722
XGBoost,1.3255358907911514,2.3887164646513575,1.545547302624982,0.7666312463674347
