,MAE,MSE,RMSE,R2
CatBoost,2.5264733334988123,7.278080201937034,2.6977917269383553,0.2889585136209146
Decision Tree,2.6222222222222222,8.166666666666668,2.8577380332470415,0.2021469062839223
ElasticNet,2.702575439821191,9.02831088352736,3.0047147757361863,0.1179674568016933
Gradient Boosting,2.557401566675831,7.511615558839931,2.740732668254956,0.2661429739886211
Huber,2.489321958796543,7.76179287845099,2.7859994397793746,0.24170157622177046
KNN,2.7422222222222223,9.562311111111113,3.092298677539269,0.06579761186829092
Lasso Regression,2.7022692371771604,9.026054354846856,3.0043392542865157,0.11818791129828099
Linear Regression,2.5219665581897477,7.916849231995814,2.8136896118790027,0.22655314462470055
M-estimators,2.437950764072211,8.102795328687039,2.8465409409820612,0.20838689950108547
Passive Aggressive,2.526877907834002,10.092477800574894,3.17686603440795,0.014002289414345226
Random Forest,2.4998888888888837,6.843036777777756,2.6159198722013173,0.33146064527801455
Ridge Regression,2.529709735190448,7.955477437676202,2.820545592199531,0.22277931196264344
SVR,2.648249259612091,8.571713925388096,2.9277489519062416,0.16257528891999073
XGBoost,2.622394031948514,8.162856247466209,2.857071270981214,0.20251917013054777
