,MAE,MSE,RMSE,R2
CatBoost,2.2578143088392184,6.162422032712424,2.482422613640237,0.3979541856836252
Decision Tree,2.277777777777778,5.805555555555555,2.4094720491334933,0.4328187190929925
ElasticNet,3.08888888888889,12.073333333333341,3.474670248143461,-0.17951996140393245
Gradient Boosting,2.267109767103632,6.009248234909939,2.451376803943029,0.4129186985554155
Huber,2.1750686660101355,6.150256311803048,2.4799710304362526,0.39914273156911495
KNN,2.284444444444444,6.404622222222222,2.5307355101278803,0.37429212398986866
Lasso Regression,3.08888888888889,12.073333333333341,3.474670248143461,-0.17951996140393245
Linear Regression,2.1883884350504106,6.198790297810849,2.4897369937025173,0.3944011408482949
M-estimators,2.153653675221493,5.913861410904574,2.4318432126484995,0.42223763806142756
Passive Aggressive,2.201871090686824,6.103444164162298,2.470514959307532,0.40371610505711486
Random Forest,2.2743333333333333,6.411397888888895,2.532073831642532,0.3736301664455429
Ridge Regression,2.5987191988364926,8.380232513822527,2.894863125231058,0.18128231381060833
SVR,2.3297091004437225,6.95599412029869,2.637421869989458,0.32042513117332794
XGBoost,2.278539943695068,5.809476358552194,2.4102855346518997,0.43243567115821047
