,MAE,MSE,RMSE,R2
CatBoost,1.9133936665510107,5.307992158766753,2.303908018729644,0.4814288205763998
Decision Tree,1.5888888888888888,3.754444444444445,1.9376388839111496,0.633204679773248
ElasticNet,3.0826860941946825,11.845378749587772,3.441711601745238,-0.15724964264456553
Gradient Boosting,1.4421565353008168,3.4194225938569947,1.8491680815591087,0.6659350740532909
Huber,4.439211000754704,21.49000012469984,4.635730808049561,-1.0994934387898767
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Lasso Regression,3.1735843577084384,12.42216696614647,3.5245094646129793,-0.2135997156650149
Linear Regression,2.839750125916785,11.418732958037161,3.3791615761956635,-0.1155679285984923
M-estimators,3.276993422830556,12.50508770457379,3.5362533428154985,-0.22170076476960165
Passive Aggressive,2.8121540416322306,10.031457038673848,3.167247549320048,0.019963791903773287
Random Forest,1.690444444444444,4.589033777777777,2.1422030197387403,0.5516683922325414
Ridge Regression,3.6857203393102744,15.891652556511396,3.9864335635391437,-0.5525556109967711
SVR,3.0709599650524595,11.854320559860447,3.4430103920639636,-0.158123224398379
XGBoost,1.7569827609592013,4.104469430067149,2.02594901961208,0.5990085347540236
