,MAE,MSE,RMSE,R2
CatBoost,2.1112503545105756,6.615056284119925,2.5719751717541763,0.35373349533987
Decision Tree,1.6444444444444442,4.384444444444444,2.093906503271921,0.5716560125437222
ElasticNet,3.0570755579439153,11.625207273284966,3.4095758201402364,-0.13573970466298646
Gradient Boosting,1.6124021707629421,3.854951721083311,1.9634030969424774,0.6233854910050076
Huber,4.231290003087555,23.841947083311492,4.8828216313225585,-1.3292699478328678
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Lasso Regression,3.1735843577084384,12.42216696614647,3.5245094646129793,-0.2135997156650149
Linear Regression,3.380450995603024,17.454885548786653,4.1779044446692,-0.7052776859868757
M-estimators,3.5782700837209394,18.92151661958878,4.349886966300248,-0.8485621109476431
Passive Aggressive,2.810406716107929,10.021978589173418,3.165750872885202,0.02088980132306506
Random Forest,1.950111111111112,5.601272333333336,2.3667007274544316,0.45277643348208885
Ridge Regression,3.106404761797238,14.164557210240483,3.763583028211346,-0.3838247907724992
SVR,3.0705077056653582,11.851315062380076,3.442573900787037,-0.15782959842333377
XGBoost,1.921874788072374,5.568647898903738,2.359798275044657,0.4559637199237695
