,MAE,MSE,RMSE,R2
CatBoost,2.1429684662840383,6.9959199008266255,2.644980132406787,0.31652453025333904
Decision Tree,3.3777777777777778,18.08,4.252058325093859,-0.766349053190206
ElasticNet,3.070321577032243,11.748943986169117,3.4276732612909764,-0.14782832333819607
Gradient Boosting,2.3910918703403596,8.66569959008542,2.9437560344032283,0.1533932374901471
Huber,4.4382868368501835,23.82202653587202,4.880781344812736,-1.327323784110039
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Lasso Regression,3.1735843577084384,12.42216696614647,3.5245094646129793,-0.2135997156650149
Linear Regression,4.047662642378108,22.195243626199826,4.711182826658272,-1.1683931175035411
M-estimators,4.357264681957337,25.233141853083172,5.02326008216608,-1.465184525509271
Passive Aggressive,2.809031148723814,10.001863699929352,3.162572323272521,0.022854951520591804
Random Forest,2.0632222222222234,6.534886333333339,2.556342374044083,0.36156580267760174
Ridge Regression,3.3610890728803695,14.291778765112687,3.7804469001842476,-0.39625386560623266
SVR,3.070565569605956,11.851867400637136,3.4426541215517332,-0.1578835598258448
XGBoost,1.5099477767944334,4.891763592689994,2.21173316489354,0.5220928102666873
