,MAE,MSE,RMSE,R2
CatBoost,2.5076838702202293,10.230291040611911,3.1984826153368275,0.0005384461590101086
Decision Tree,2.6666666666666665,12.237777777777776,3.4982535325184445,-0.19558557471957516
ElasticNet,2.8042421918139007,9.869870303893553,3.1416349730504263,0.03575021756678609
Gradient Boosting,2.7074822079467302,11.443345830245482,3.382801476623404,-0.11797251507644901
Huber,2.1228935866386545,6.878432653235938,2.6226766200269407,0.32800259930996145
KNN,2.2777777777777777,7.437111111111111,2.727106728954903,0.273421782655892
Lasso Regression,2.757204861118123,9.47293859968914,3.077813931947339,0.07452897530476388
Linear Regression,2.149792337894926,6.864304022072047,2.6199816835375103,0.329382914259033
M-estimators,2.6759800617769014,9.707083411179008,3.1156192660816258,0.05165389421601785
Passive Aggressive,2.575911319073361,9.443339677771792,3.0730017373525502,0.07742068037689653
Random Forest,2.417111111111113,8.10839044444446,2.8475235634572824,0.2078402774092375
Ridge Regression,2.3047591180668685,7.185082684244471,2.680500454065336,0.2980440267473139
SVR,2.445850688251925,7.829810354656601,2.798179828863149,0.2350565206522921
XGBoost,2.9817800733778212,12.525119176456245,3.5390845110644427,-0.22365776539977777
