,MAE,MSE,RMSE,R2
CatBoost,1.750959393157246,4.208235392038819,2.0513983991508864,0.5888709844950617
Decision Tree,1.7777777777777777,6.435555555555556,2.5368396787253933,0.3712700518634665
ElasticNet,2.9649602642316943,10.940563503964903,3.307652264668235,-0.06885254350640091
Gradient Boosting,1.4603287080862106,3.757085596932056,1.9383203029767955,0.632946648954895
Huber,1.776370836750428,5.434183435141721,2.33113350864804,0.46910040013692034
KNN,3.222222222222223,12.399288888888892,3.521262399891393,-0.21136461223012915
Lasso Regression,3.0351704189041118,11.437550657396223,3.3819448040138416,-0.11740634814750206
Linear Regression,1.9607518500311447,6.186627876606003,2.4872932831907866,0.39558936436487013
M-estimators,4.380679462895998,26.35704193169566,5.133910978162327,-1.5749854016009506
Passive Aggressive,3.538577959683842,15.410031587780939,3.925561308625932,-0.5055030257028776
Random Forest,1.5580000000000014,4.319746444444449,2.078399972200839,0.5779767675793025
Ridge Regression,1.9892097969774245,6.073706540357423,2.4644891033148073,0.40662136079007216
SVR,3.2054149530815628,12.442178495327612,3.5273472320325387,-0.2155547679671166
XGBoost,1.2323323938581678,2.229998853919179,1.493318068570517,0.7821373692347684
