,MAE,MSE,RMSE,R2
CatBoost,2.1446157213055512,7.080246928396588,2.6608733394125674,0.30828609190673795
Decision Tree,2.433333333333333,8.983333333333333,2.9972209350218635,0.12236159691231474
ElasticNet,2.3134428505309255,7.162957261949044,2.6763701653450416,0.30020559857933604
Gradient Boosting,1.9622768893578444,6.999898583750454,2.645732145125514,0.31613582766398896
Huber,3.3962027232743863,14.530197260158543,3.811849585195951,-0.4195464697537592
KNN,3.0999999999999996,11.194533333333334,3.3458232669005894,-0.0936644554336028
Lasso Regression,2.351985162431218,7.367495324397329,2.7143130483415745,0.28022298724377803
Linear Regression,3.8473557201690736,19.994670242001273,4.47154003023581,-0.9534052461730826
M-estimators,3.1060730978285243,15.712189182068503,3.9638603888215465,-0.5350227038325275
Passive Aggressive,2.754381770732863,9.544796512096143,3.0894654087877638,0.06750872333881619
Random Forest,1.872888888888891,5.665160888888898,2.380159845239159,0.44653475817151045
Ridge Regression,3.1472148525546895,12.350554538882852,3.5143355757358816,-0.2066034466885911
SVR,3.068265479723099,11.83550820265706,3.4402773438571868,-0.15628532675819784
XGBoost,1.7434148894415962,3.8431207352993937,1.9603879042932788,0.6245413345082007
