,MAE,MSE,RMSE,R2
CatBoost,1.9983384209314425,5.9126432693548745,2.431592743317613,0.4223566459802861
Decision Tree,1.7777777777777775,4.757777777777777,2.1812330865310514,0.5351827282595587
ElasticNet,2.714515171771286,9.135804577143254,3.0225493506547174,0.10746572096417373
Gradient Boosting,1.517241605857979,3.43719322328944,1.853966888401581,0.6641989493590102
Huber,2.978856376729534,14.07657267059172,3.7518758868853483,-0.3752290270388723
KNN,3.0999999999999996,11.194533333333332,3.3458232669005894,-0.09366445543360258
Lasso Regression,2.687365519707139,8.982161861082297,2.9970255022408963,0.12247604541350143
Linear Regression,3.060138539513995,12.768753392461239,3.573339249562129,-0.24745992617218682
M-estimators,3.4849839947480206,17.336274888921768,4.163685253344898,-0.6936898637108466
Passive Aggressive,2.7999304664090294,9.955177931676065,3.155182709713665,0.02741597821039543
Random Forest,1.7086666666666668,4.56762622222222,2.1372005573231116,0.5537598311422027
Ridge Regression,2.637399458207044,10.255202779392144,3.202374553263897,-0.0018953384763762404
SVR,3.0697724594403746,11.845747576659337,3.441765183253985,-0.15728567568376084
XGBoost,1.6672564400566947,4.213549396593009,2.052693205667376,0.5883518259268681
