,MAE,MSE,RMSE,R2
CatBoost,1.6469706551728767,3.919224089348126,1.9797030305952774,0.617106318613921
Decision Tree,1.4444444444444442,4.282222222222222,2.0693530926891675,0.5816427451453383
ElasticNet,2.9918479553990283,11.180612628469213,3.3437423089211307,-0.09230445411410693
Gradient Boosting,1.364794929650284,2.8385791698064504,1.6848083480937677,0.7226813258300295
Huber,1.7360812636443832,5.380439264891724,2.3195773892870495,0.47435100656587925
KNN,2.322222222222222,7.237555555555556,2.690270535755755,0.29291762151730794
Lasso Regression,3.0438548326902986,11.540200043068394,3.3970869937445514,-0.12743481303647308
Linear Regression,1.516667104450509,4.39099110409091,2.095469184715182,0.5710164281373011
M-estimators,1.4040469156447197,3.611800156819121,1.9004736664366388,0.6471404984895082
Passive Aggressive,2.827139589105833,9.84694320932051,3.1379839402585397,0.03799010981189088
Random Forest,1.5878888888888896,3.927004777777779,1.9816671712923386,0.6163461741647569
Ridge Regression,2.8686563182201206,10.166125899895825,3.1884362781614164,0.006807142815629441
SVR,3.0213201368829328,11.419789343828654,3.379317881441261,-0.11567113357872505
XGBoost,1.1687217553456624,1.9141390714045403,1.3835241491945633,0.8129957004176
