,MAE,MSE,RMSE,R2
CatBoost,2.1709661974502947,6.762105567469934,2.600404885295737,0.33936732485217147
Decision Tree,1.5819444444444446,4.212145276063101,2.0523511580777547,0.5884890033034482
ElasticNet,3.098420436361249,12.142605348565864,3.484624133040157,-0.18628758079102026
Gradient Boosting,1.9051226327127049,4.785571323452228,2.187594871874641,0.5324674017613915
Huber,4.554493382712756,24.736810532025217,4.973611417473747,-1.4166947932626246
KNN,3.1365079365079374,12.22040816326531,3.495770038670351,-0.19388862769809423
Lasso Regression,2.508159898933362,9.642030230514935,3.105161868649513,0.058009349087312034
Linear Regression,3.331298652302471,16.63767444949569,4.0789305521785595,-0.6254391875638052
M-estimators,2.619625851303565,10.061743006935721,3.1720250640459513,0.017004964947782808
Passive Aggressive,2.812319103569965,10.03943607963555,3.1685069164569533,0.019184269146689803
Random Forest,1.8766666666666683,5.322012222222228,2.3069486821822083,0.48005911229043496
Ridge Regression,3.272912189248923,16.22877893232796,4.028495864752496,-0.5854916095990406
SVR,3.094369183822623,11.436988309038458,3.3818616632024523,-0.11735140879521766
XGBoost,1.7400479316711426,4.99042451342748,2.2339258075028994,0.5124540036333063
