,MAE,MSE,RMSE,R2
CatBoost,1.7856896914594635,4.755262971095854,2.1806565458815044,0.5354284155605307
Decision Tree,1.503703703703704,4.084393432784637,2.020988231728388,0.600969885350916
ElasticNet,3.098420436361249,12.142605348565864,3.484624133040157,-0.18628758079102026
Gradient Boosting,2.0534215370819244,5.479816349495871,2.340900756011641,0.46464223337454413
Huber,4.707464487009266,25.222390790686656,5.022189840167997,-1.464134186522276
KNN,3.1365079365079374,12.22040816326531,3.495770038670351,-0.19388862769809423
Lasso Regression,3.0973736715557516,12.134852510451635,3.483511520068742,-0.18553015721454869
Linear Regression,2.7975498616049137,10.80955961726473,3.28778947277114,-0.056053948858331815
M-estimators,1.8693870120482137,6.567966391462969,2.5628043997665855,0.3583340034875161
Passive Aggressive,2.8140731703920654,10.048983896037548,3.170013232785874,0.018251482837967292
Random Forest,1.7052222222222229,4.577611000000004,2.1395352299039163,0.5527843553250509
Ridge Regression,3.6049089947357027,14.463182533463819,3.803049110051541,-0.41299937909850337
SVR,3.0986256422740652,11.457558779220095,3.384901590773371,-0.11936106756341514
XGBoost,1.5663396994272867,3.5268437139283755,1.8779892741782034,0.6554404283823443
