Scenario,Machine Learing Algorithms,Test_R2
NDRE_CD_6FE,Decision_Tree ,0.524110481
EVI2_CV_6FE,M-estimators,0.52384329
EVI2_CV_6FE,Huber ,0.52384329
NDVI_CD_6FE,RF ,0.516228377
NDVI_CV_16Env,RF ,0.513547623
EVI2_CV_6FE,Linear ,0.510245167
NDVI_CV_6FE,Huber ,0.506251838
NDVI_CV_6FE,M-estimators,0.506251838
CIre_CD_16Env,RF ,0.503500666
NDVI_CV_6FE,Linear ,0.501908151
NDRE_CD_16Env,RF ,0.498482941
NDRE_CD_16Env,CatBoost,0.498278628
NDVI_CD,RF ,0.49346946
CIre_CD_16Env,CatBoost,0.490045129
EVI2_CD_6FE,Decision_Tree ,0.485357617
NDVI_CD_6FE,Decision_Tree ,0.483620794
CIgr_CD_6FE,CatBoost,0.483400269
NDRE_CD_16Env,Passive_Aggressive ,0.47763204
CIgr_CD_16Env,CatBoost,0.474173273
CIgr_CD_6FE,Passive_Aggressive ,0.469285169
CIgr_CV_16Env,RF ,0.466387319
CIgr_CD_6FE,M-estimators,0.462975277
CIgr_CD_6FE,Huber ,0.462975277
CIre_CV_16Env,RF ,0.459705533
EVI2_CD_16Env,XGBoost,0.455885917
CIre_CV_6FE,Ridge,0.455325767
CIgr_CD_6FE,Ridge,0.451609758
NDRE_CV_6FE,Ridge,0.447414973
CIgr_CV_6FE,Ridge,0.439878608
NDVI_CD,KNN,0.43587987
CIre_CD,Decision_Tree ,0.432818719
CIre_CD,XGBoost,0.432435671
EVI2_CD,KNN,0.427299964
CIre_CD_6FE,Passive_Aggressive ,0.416618231
NDRE_CV_16Env,Gradient_Boosting ,0.41567261
CIre_CD,Gradient_Boosting ,0.412918699
CIre_CD,CatBoost,0.404128533
EVI2_CV_6FE,Ridge,0.403360079
EVI2_CV_16Env,Gradient_Boosting ,0.402404895
NDRE_CD,Huber ,0.401933144
NDRE_CD,M-estimators,0.401933144
EVI2_CV_16Env,RF ,0.399493546
CIre_CD,M-estimators,0.3991977
CIre_CD,Huber ,0.3991977
NDRE_CV,CatBoost,0.399143965
NDRE_CD,Linear ,0.396421702
CIre_CD,Linear ,0.394401141
EVI2_CD_16Env,RF ,0.393738724
CIre_CV_16Env,CatBoost,0.393718436
NDVI_CD,CatBoost,0.391020003
CIre_CD_6FE,Decision_Tree ,0.390266554
CIre_CV_16Env,Gradient_Boosting ,0.390246495
NDRE_CD,Ridge,0.389186313
EVI2_CD_6FE,CatBoost,0.387340982
CIre_CD,Ridge,0.386181886
NDVI_CV_6FE,Ridge,0.385591206
NDRE_CV_16Env,RF ,0.383909847
NDVI_CD_16Env,RF ,0.376757924
CIgr_CV_16Env,Gradient_Boosting ,0.375424934
CIre_CD,RF ,0.37451828
CIre_CD,KNN,0.374292124
NDRE_CD,Passive_Aggressive ,0.374190455
NDRE_CV,XGBoost,0.373484653
NDRE_CV,Decision_Tree ,0.372898323
EVI2_CV_6FE,Passive_Aggressive ,0.368473846
NDRE_CV,Gradient_Boosting ,0.368052397
NDRE_CV_16Env,CatBoost,0.356678887
CIgr_CD_6FE,Decision_Tree ,0.346411772
CIgr_CV_16Env,Passive_Aggressive ,0.34155784
CIgr_CD,KNN,0.339625136
NDRE_CV,RF ,0.339441923
NDVI_CD,Gradient_Boosting ,0.332680516
NDVI_CD_6FE,CatBoost,0.330085402
CIre_CV,RF ,0.328297739
NDVI_CV,RF ,0.326056238
CIre_CD,SVR,0.320425131
NDVI_CV_16Env,CatBoost,0.318490075
CIgr_CD,Huber ,0.314196874
CIgr_CD,M-estimators,0.314196874
CIgr_CD,Linear ,0.312659129
CIre_CD_16Env,Ridge,0.310944803
EVI2_CD_16Env,CatBoost,0.309249417
CIgr_CV,RF ,0.309179648
CIgr_CV_16Env,CatBoost,0.308453817
CIgr_CD,Ridge,0.308129514
NDRE_CD,SVR,0.303625099
NDRE_CD,KNN,0.296677843
CIre_CV_6FE,Decision_Tree ,0.296043903
NDVI_CD_16Env,CatBoost,0.29469162
EVI2_CD,RF ,0.292142575
EVI2_CV_16Env,CatBoost,0.285014482
CIgr_CV,CatBoost,0.276856891
NDRE_CD_6FE,SVR,0.27506433
CIre_CD_6FE,SVR,0.270293105
NDVI_CD,XGBoost,0.26791731
NDVI_CD,Decision_Tree ,0.266300808
CIgr_CV,Gradient_Boosting ,0.266142974
EVI2_CD_6FE,Linear ,0.261772179
NDRE_CD_16Env,Ridge,0.257535641
NDVI_CV,Gradient_Boosting ,0.257495312
NDVI_CV,CatBoost,0.257374923
NDRE_CD_6FE,ElasticNet,0.257351552
NDRE_CV,Huber ,0.255871565
NDRE_CV,M-estimators,0.255871565
CIre_CV,Huber ,0.253093084
CIre_CV,M-estimators,0.253093084
CIre_CD_6FE,ElasticNet,0.252349222
NDRE_CD,Lasso,0.247152445
NDRE_CD_6FE,Lasso,0.247152445
NDRE_CD_16Env,Lasso,0.247152445
CIgr_CD_6FE,KNN,0.243101194
CIgr_CV,M-estimators,0.241700446
CIgr_CV,Huber ,0.241700446
EVI2_CD_6FE,M-estimators,0.240436095
EVI2_CD_6FE,Huber ,0.240436095
NDRE_CV,Linear ,0.238756695
CIre_CD,Lasso,0.237118399
CIre_CD_16Env,Lasso,0.237118399
CIre_CD_6FE,Lasso,0.237118399
NDRE_CD_16Env,ElasticNet,0.236555829
EVI2_CV_6FE,Decision_Tree ,0.235037993
CIre_CV,Linear ,0.234646806
CIgr_CD,SVR,0.232625569
NDRE_CV,Ridge,0.23169563
EVI2_CV,Huber ,0.230240471
EVI2_CV,M-estimators,0.230240471
CIre_CD_16Env,ElasticNet,0.230020502
NDRE_CD,RF ,0.229247729
CIre_CV,Ridge,0.227536242
CIgr_CV,Linear ,0.226553145
EVI2_CV,Linear ,0.22309636
CIgr_CD_6FE,ElasticNet,0.221021863
CIgr_CV,Ridge,0.219912183
EVI2_CV,Ridge,0.216957481
NDVI_CV,M-estimators,0.215723635
NDVI_CV,Huber ,0.215723635
NDVI_CV,Linear ,0.214333496
EVI2_CD,SVR,0.211572
NDRE_CD,ElasticNet,0.208335071
NDVI_CV,Ridge,0.208240026
CIgr_CD_6FE,SVR,0.205820675
CIre_CD_16Env,Passive_Aggressive ,0.20473677
CIgr_CV,XGBoost,0.20251917
CIgr_CV,Decision_Tree ,0.202146906
NDRE_CD_16Env,SVR,0.1987792
EVI2_CD,Ridge,0.198419116
CIre_CD,ElasticNet,0.197644706
EVI2_CV,RF ,0.197023311
CIgr_CD_16Env,Lasso,0.196934548
CIgr_CD_6FE,Lasso,0.196934548
CIgr_CD,Lasso,0.196934548
CIgr_CD_16Env,ElasticNet,0.196258944
NDVI_CD_6FE,Huber ,0.196115939
NDVI_CD_6FE,M-estimators,0.196115939
EVI2_CD,Linear ,0.195721871
CIre_CV_16Env,Decision_Tree ,0.19563382
CIgr_CD_16Env,Ridge,0.194344448
EVI2_CD_6FE,Ridge,0.190651941
CIre_CV,Passive_Aggressive ,0.188532084
NDRE_CV_6FE,Decision_Tree ,0.185755639
NDVI_CD_6FE,Linear ,0.184747834
CIre_CD_16Env,SVR,0.184240264
NDVI_CD_16Env,SVR,0.184171614
EVI2_CD_16Env,SVR,0.183802868
EVI2_CD,Huber ,0.183671726
EVI2_CD,M-estimators,0.183671726
NDVI_CV,XGBoost,0.182555085
NDVI_CV,Decision_Tree ,0.181087927
CIre_CV,SVR,0.178914471
CIgr_CD_16Env,SVR,0.178710443
NDVI_CD,Ridge,0.176239071
NDRE_CV,SVR,0.174969994
NDVI_CD,Linear ,0.172273643
CIre_CV_16Env,Ridge,0.172068162
EVI2_CD_6FE,ElasticNet,0.170730822
NDVI_CV_16Env,Gradient_Boosting ,0.170139982
CIgr_CV_6FE,Decision_Tree ,0.170124231
CIgr_CD,ElasticNet,0.166404132
NDVI_CD,M-estimators,0.165602433
NDVI_CD,Huber ,0.165602433
EVI2_CD,Lasso,0.162897728
EVI2_CD_6FE,Lasso,0.162897728
EVI2_CD_16Env,Lasso,0.162897728
CIgr_CV,SVR,0.162575289
NDVI_CD_6FE,ElasticNet,0.161121069
NDVI_CD,SVR,0.15918401
CIgr_CD,CatBoost,0.158949275
EVI2_CD_16Env,ElasticNet,0.152798934
NDVI_CD_16Env,Lasso,0.152458089
NDVI_CD_6FE,Lasso,0.152458089
NDVI_CD,Lasso,0.152458089
NDVI_CV_6FE,Passive_Aggressive ,0.149275026
NDRE_CV_16Env,Ridge,0.148268441
CIgr_CV_16Env,Ridge,0.145536336
EVI2_CV,SVR,0.145041544
EVI2_CD_6FE,SVR,0.144610352
NDVI_CD_16Env,ElasticNet,0.143313748
EVI2_CD,ElasticNet,0.142164946
EVI2_CD,Passive_Aggressive ,0.142084149
EVI2_CV_6FE,KNN,0.141557834
CIre_CV_6FE,KNN,0.140910867
NDVI_CD,ElasticNet,0.134758235
CIgr_CV,Passive_Aggressive ,0.133738203
CIgr_CV_6FE,KNN,0.132196357
NDRE_CV_6FE,KNN,0.132196357
NDVI_CV_6FE,KNN,0.132196357
CIre_CV_6FE,ElasticNet,0.131070828
NDRE_CV_6FE,ElasticNet,0.127010683
CIre_CV_6FE,SVR,0.125448628
CIgr_CV_6FE,ElasticNet,0.125310141
CIgr_CV_6FE,SVR,0.12447771
EVI2_CV_6FE,SVR,0.12206709
NDRE_CV,KNN,0.121362924
CIgr_CD,RF ,0.11964424
CIre_CV_16Env,ElasticNet,0.118561937
NDVI_CD_6FE,Ridge,0.117181505
NDRE_CV_16Env,ElasticNet,0.115194696
NDRE_CV_6FE,SVR,0.113550973
CIgr_CV_16Env,ElasticNet,0.112866823
EVI2_CV_6FE,ElasticNet,0.11149165
NDVI_CD_6FE,SVR,0.109140519
NDVI_CV_6FE,SVR,0.103119679
CIgr_CV_16Env,SVR,0.102639325
CIre_CV_16Env,SVR,0.101264033
CIre_CV,KNN,0.101098541
NDRE_CV_16Env,SVR,0.100681732
EVI2_CV_16Env,ElasticNet,0.1004817
EVI2_CV_16Env,SVR,0.100325012
CIgr_CD,Gradient_Boosting ,0.100016085
NDVI_CV_6FE,ElasticNet,0.097830249
NDVI_CV_16Env,SVR,0.091033053
NDVI_CV_16Env,ElasticNet,0.089347571
CIre_CD_6FE,KNN,0.084464118
NDVI_CV,SVR,0.082863719
CIre_CV,CatBoost,0.082274259
NDRE_CD_6FE,KNN,0.08012206
CIre_CV,Lasso,0.079113228
CIre_CV_16Env,Lasso,0.079113228
CIre_CV_6FE,Lasso,0.079113228
NDRE_CV_16Env,Lasso,0.078972786
NDRE_CV,Lasso,0.078972786
NDRE_CV_6FE,Lasso,0.078972786
EVI2_CV_16Env,Ridge,0.077887828
EVI2_CV,KNN,0.075988421
CIgr_CV_16Env,Lasso,0.073142534
CIgr_CV_6FE,Lasso,0.073142534
CIgr_CV,Lasso,0.073142534
NDRE_CV,ElasticNet,0.072983235
CIre_CV,ElasticNet,0.070658813
EVI2_CV,Lasso,0.069079332
EVI2_CV_6FE,Lasso,0.069079332
EVI2_CV_16Env,Lasso,0.069079332
EVI2_CV,ElasticNet,0.067611811
CIgr_CV,ElasticNet,0.067543254
CIgr_CV,KNN,0.065797612
NDVI_CV,ElasticNet,0.059290007
NDRE_CD,CatBoost,0.058708513
NDVI_CV_6FE,Lasso,0.056507332
NDVI_CV_16Env,Lasso,0.056507332
NDVI_CV,Lasso,0.056507332
NDVI_CV,KNN,0.055867326
NDVI_CV_16Env,Ridge,0.052736037
NDVI_CD_6FE,KNN,0.046775057
CIgr_CV_16Env,Decision_Tree ,0.037257267
CIgr_CD,Passive_Aggressive ,0.035221137
NDRE_CD,Gradient_Boosting ,0.03352058
EVI2_CD,CatBoost,0.010722455
NDRE_CV_16Env,KNN,0.008708238
CIre_CV_16Env,KNN,0.008708238
EVI2_CD_6FE,KNN,0.006185502
CIgr_CD,XGBoost,-0.020717204
CIgr_CD,Decision_Tree ,-0.021903269
NDRE_CV_16Env,Decision_Tree ,-0.025919672
CIre_CV,Gradient_Boosting ,-0.031957644
CIgr_CD_16Env,KNN,-0.034538656
NDRE_CV_16Env,Passive_Aggressive ,-0.035121884
EVI2_CV,CatBoost,-0.054805036
NDRE_CD,XGBoost,-0.07448474
NDRE_CD,Decision_Tree ,-0.075744784
CIre_CD_16Env,Linear ,-0.076678555
EVI2_CD,Gradient_Boosting ,-0.085734811
NDVI_CV_16Env,KNN,-0.085948619
CIgr_CV_16Env,KNN,-0.085948619
EVI2_CV_16Env,KNN,-0.085948619
CIre_CD,Passive_Aggressive ,-0.086723061
EVI2_CV,Passive_Aggressive ,-0.088707254
NDRE_CD_16Env,KNN,-0.088975033
NDVI_CD_16Env,KNN,-0.107111808
EVI2_CD_16Env,KNN,-0.107111808
NDRE_CD_16Env,Linear ,-0.115567929
NDRE_CD_6FE,Passive_Aggressive ,-0.115955168
EVI2_CV,Gradient_Boosting ,-0.120912827
CIre_CV,XGBoost,-0.143400654
CIre_CV,Decision_Tree ,-0.146520323
NDVI_CV,Passive_Aggressive ,-0.160944192
CIre_CD_16Env,KNN,-0.173553974
EVI2_CD_16Env,Ridge,-0.178175887
EVI2_CD,XGBoost,-0.181956312
EVI2_CD,Decision_Tree ,-0.185164636
NDVI_CD_6FE,Passive_Aggressive ,-0.204152727
EVI2_CV,XGBoost,-0.217693683
CIgr_CD_16Env,Passive_Aggressive ,-0.219299345
EVI2_CV,Decision_Tree ,-0.219792546
NDVI_CD,Passive_Aggressive ,-0.240477364
CIgr_CD_16Env,Linear ,-0.247459926
NDVI_CD_16Env,Ridge,-0.312405648
EVI2_CD_6FE,Passive_Aggressive ,-0.314638951
CIgr_CV_6FE,Passive_Aggressive ,-0.327797242
NDVI_CD_16Env,Passive_Aggressive ,-0.370639807
NDRE_CV_6FE,Passive_Aggressive ,-0.431030816
NDRE_CV,Passive_Aggressive ,-0.471336801
NDVI_CV_16Env,Passive_Aggressive ,-0.561163542
EVI2_CD_16Env,Linear ,-0.705277686
EVI2_CD_16Env,Passive_Aggressive ,-0.757659107
NDVI_CD_16Env,Linear ,-0.843598264
CIre_CV_16Env,Passive_Aggressive ,-0.865976565
EVI2_CV_16Env,Decision_Tree ,-0.873706429
CIre_CV_16Env,Linear ,-0.885080876
CIre_CV_6FE,Passive_Aggressive ,-0.908845817
EVI2_CV_16Env,Passive_Aggressive ,-0.910014663
NDRE_CV_16Env,Linear ,-0.945160375
CIgr_CV_16Env,Linear ,-0.953405246
NDVI_CV_16Env,Decision_Tree ,-1.081039682
EVI2_CV_16Env,Linear ,-1.135213579
NDVI_CV_16Env,Linear ,-1.168393118
CIre_CD_16Env,Huber ,-1.212020938
CIre_CD_16Env,M-estimators,-1.212020938
NDRE_CD_16Env,Huber ,-1.313326423
NDRE_CD_16Env,M-estimators,-1.313326423
CIgr_CD_16Env,M-estimators,-1.455415665
CIgr_CD_16Env,Huber ,-1.455415665
EVI2_CD_16Env,M-estimators,-1.851404456
EVI2_CD_16Env,Huber ,-1.851404456
NDVI_CD_16Env,Huber ,-1.966729051
NDVI_CD_16Env,M-estimators,-1.966729051
CIre_CV_16Env,M-estimators,-2.302185002
CIre_CV_16Env,Huber ,-2.302185002
CIgr_CV_16Env,M-estimators,-2.410140968
CIgr_CV_16Env,Huber ,-2.410140968
NDRE_CV_16Env,Huber ,-2.639419534
NDRE_CV_16Env,M-estimators,-2.639419534
EVI2_CV_16Env,Huber ,-2.769564574
EVI2_CV_16Env,M-estimators,-2.769564574
NDVI_CV_16Env,Huber ,-3.146533406
NDVI_CV_16Env,M-estimators,-3.146533406
