,MAE,MSE,RMSE,R2
CatBoost,2.125060423801754,6.378826931867329,2.5256339663275296,0.3768122283424754
Decision Tree,1.3555555555555554,2.6547470850480113,1.6293394628032585,0.7406410398155966
ElasticNet,3.098420436361249,12.142605348565864,3.484624133040157,-0.18628758079102026
Gradient Boosting,1.9023424952228625,4.783672000865568,2.187160716743415,0.5326529585452768
Huber,4.864528152715351,27.36421676710749,5.231081797019378,-1.6733826536433556
KNN,3.1365079365079374,12.22040816326531,3.495770038670351,-0.19388862769809423
Lasso Regression,3.0973736715557516,12.134852510451635,3.483511520068742,-0.18553015721454869
Linear Regression,3.373254001561959,18.006358837721123,4.243390017158584,-0.759154584314812
M-estimators,4.034088933950176,23.483669408865,4.845995192823142,-1.2942675456737005
Passive Aggressive,2.813905033532056,10.04804445221429,3.1698650526819416,0.01834326302091749
Random Forest,1.896222222222224,5.537765111111116,2.3532456546461775,0.4589808539380047
Ridge Regression,3.5807801755672792,14.272464508404132,3.777891542699993,-0.3943669342428351
SVR,3.0952570266454433,11.446763692034072,3.38330662104901,-0.11830642751750053
XGBoost,1.8131454520755343,4.595164305349446,2.143633435396417,0.5510694623889698
