,MAE,MSE,RMSE,R2
CatBoost,1.7943694051865302,4.6594471389244685,2.1585752567201517,0.5447892675758269
Decision Tree,1.5345679012345679,4.117658179012347,2.029201364826159,0.5977200428175129
ElasticNet,3.098420436361249,12.142605348565864,3.484624133040157,-0.18628758079102026
Gradient Boosting,2.030321597718225,5.507158557292064,2.346733593165629,0.46197100091586407
Huber,4.846604152168901,27.64103372854574,5.257474082536759,-1.7004266457751838
KNN,3.1365079365079374,12.22040816326531,3.495770038670351,-0.19388862769809423
Lasso Regression,2.3891440241593984,7.245282794438732,2.6917062979527935,0.2921626988909213
Linear Regression,2.7466519156379974,10.228756395059431,3.1982427042142114,0.0006883753469860698
M-estimators,2.2855877292003517,7.346390456333209,2.7104225604752497,0.28228485470632025
Passive Aggressive,2.8131257127198146,10.043255706299925,3.1691096078078345,0.018811105764933167
Random Forest,1.8087777777777783,4.572036111111114,2.1382320059130895,0.5533290013267396
Ridge Regression,2.869584392480486,11.50847183029734,3.3924138648309614,-0.12433508413229344
SVR,3.0951620266054873,11.446501198599934,3.383267828387214,-0.11828078288094868
XGBoost,1.458658070034451,2.8128306726215224,1.6771495677552204,0.7251968586631972
